mat_size,memory,performance,info,permutation,optimization
30,21.094,1144.712,['matmult_nmk'],nmk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
75,131.836,1123.411,['matmult_nmk'],nmk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
200,937.5,912.629,['matmult_nmk'],nmk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
1200,33750.0,872.046,['matmult_nmk'],nmk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
30,21.094,1144.772,['matmult_nmk'],nmk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2']"
75,131.836,1121.82,['matmult_nmk'],nmk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2']"
200,937.5,913.338,['matmult_nmk'],nmk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2']"
1200,33750.0,871.34,['matmult_nmk'],nmk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2']"
30,21.094,1351.723,['matmult_nkm'],nkm,['-O3']
75,131.836,1304.122,['matmult_nkm'],nkm,['-O3']
200,937.5,990.96,['matmult_nkm'],nkm,['-O3']
1200,33750.0,425.897,['matmult_nkm'],nkm,['-O3']
30,21.094,1441.1,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
75,131.836,1538.655,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
200,937.5,1022.201,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
1200,33750.0,426.548,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
30,21.094,1460.881,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
75,131.836,1550.867,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
200,937.5,991.049,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
1200,33750.0,424.141,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
30,21.094,1333.319,['matmult_mnk'],mnk,['-O3']
75,131.836,1373.245,['matmult_mnk'],mnk,['-O3']
200,937.5,1192.247,['matmult_mnk'],mnk,['-O3']
1200,33750.0,1036.285,['matmult_mnk'],mnk,['-O3']
30,21.094,3229.308,['matmult_kmn'],kmn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
75,131.836,4722.269,['matmult_kmn'],kmn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
200,937.5,4166.923,['matmult_kmn'],kmn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
1200,33750.0,4082.93,['matmult_kmn'],kmn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
30,21.094,1344.284,['matmult_nmk'],nmk,['-O3']
75,131.836,1409.955,['matmult_nmk'],nmk,['-O3']
200,937.5,1247.099,['matmult_nmk'],nmk,['-O3']
1200,33750.0,1171.221,['matmult_nmk'],nmk,['-O3']
30,21.094,1462.519,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
75,131.836,1537.143,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
200,937.5,990.098,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
1200,33750.0,427.08,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
30,21.094,1460.976,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native']"
75,131.836,1531.462,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native']"
200,937.5,986.642,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native']"
1200,33750.0,426.669,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native']"
30,21.094,1439.328,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
75,131.836,1544.04,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
200,937.5,1016.342,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
1200,33750.0,431.068,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
30,21.094,1206.276,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
75,131.836,1135.292,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
200,937.5,922.483,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
1200,33750.0,852.693,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
30,21.094,1205.523,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
75,131.836,1134.005,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
200,937.5,921.574,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
1200,33750.0,853.432,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations']"
30,21.094,3903.554,['matmult_mkn'],mkn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math']"
75,131.836,5341.342,['matmult_mkn'],mkn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math']"
200,937.5,6512.613,['matmult_mkn'],mkn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math']"
1200,33750.0,6541.626,['matmult_mkn'],mkn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math']"
