mat_size,memory,performance,info,permutation,optimization
30,21.094,1204.577,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto', '-march=native']"
75,131.836,1134.469,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto', '-march=native']"
200,937.5,922.945,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto', '-march=native']"
1200,33750.0,853.281,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto', '-march=native']"
30,21.094,1439.282,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations']"
75,131.836,1541.841,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations']"
200,937.5,1018.817,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations']"
1200,33750.0,427.4,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations']"
30,21.094,3236.973,['matmult_kmn'],kmn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2']"
75,131.836,4719.947,['matmult_kmn'],kmn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2']"
200,937.5,4212.916,['matmult_kmn'],kmn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2']"
1200,33750.0,4082.284,['matmult_kmn'],kmn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2']"
30,21.094,1417.23,['matmult_knm'],knm,['-O3']
75,131.836,1351.153,['matmult_knm'],knm,['-O3']
200,937.5,971.582,['matmult_knm'],knm,['-O3']
1200,33750.0,425.678,['matmult_knm'],knm,['-O3']
30,21.094,1422.062,['matmult_knm'],knm,"['-O3', '-funroll-loops']"
75,131.836,1504.372,['matmult_knm'],knm,"['-O3', '-funroll-loops']"
200,937.5,975.405,['matmult_knm'],knm,"['-O3', '-funroll-loops']"
1200,33750.0,425.718,['matmult_knm'],knm,"['-O3', '-funroll-loops']"
